CouncilArea,Date,Price
Manningham City Council,9/12/2017,7250000.0
Maribyrnong City Council,1/07/2017,1240000.0
Maribyrnong City Council,10/09/2016,1150000.0
Maribyrnong City Council,12/08/2017,1142000.0
Maribyrnong City Council,14/05/2016,0.0
Maribyrnong City Council,14/10/2017,1300000.0
Maribyrnong City Council,15/07/2017,1400000.0
Maribyrnong City Council,15/10/2016,1217500.0
Maribyrnong City Council,16/04/2016,620000.0
Maribyrnong City Council,16/07/2016,0.0
Maribyrnong City Council,16/09/2017,1060000.0
Maribyrnong City Council,17/03/2018,1440000.0
Maribyrnong City Council,17/09/2016,1900000.0
Maribyrnong City Council,18/03/2017,1275000.0
Maribyrnong City Council,18/06/2016,1040000.0
Maribyrnong City Council,18/11/2017,1700000.0
Maribyrnong City Council,19/11/2016,1350000.0
Maribyrnong City Council,20/05/2017,680000.0
Maribyrnong City Council,22/04/2017,1961000.0
Maribyrnong City Council,22/05/2016,1917500.0
Maribyrnong City Council,22/07/2017,0.0
Maribyrnong City Council,23/09/2017,818000.0
Maribyrnong City Council,24/09/2016,1215000.0
Maribyrnong City Council,25/02/2017,4727000.0
Maribyrnong City Council,26/08/2017,1502000.0
Maribyrnong City Council,27/05/2017,1315000.0
Maribyrnong City Council,28/05/2016,1350000.0
Maribyrnong City Council,28/08/2016,1230000.0
Maribyrnong City Council,28/10/2017,2866000.0
Maribyrnong City Council,29/04/2017,4235000.0
Maribyrnong City Council,29/07/2017,3271000.0
Maribyrnong City Council,3/03/2018,3460000.0
Maribyrnong City Council,3/06/2017,1500000.0
Maribyrnong City Council,3/12/2016,1020000.0
Maribyrnong City Council,4/03/2017,0.0
Maribyrnong City Council,4/06/2016,2235000.0
Maribyrnong City Council,7/11/2016,1330000.0
Maribyrnong City Council,8/10/2016,1350000.0
Maribyrnong City Council,9/09/2017,1228000.0
Maribyrnong City Council,9/12/2017,1770000.0
Maroondah City Council,1/07/2017,0.0
Maroondah City Council,16/09/2017,935000.0
Maroondah City Council,17/03/2018,2005000.0
Maroondah City Council,17/06/2017,2391000.0
Maroondah City Council,18/11/2017,1720000.0
Maroondah City Council,19/08/2017,1825000.0
Maroondah City Council,22/07/2017,0.0
Maroondah City Council,23/09/2017,3580000.0
Maroondah City Council,24/06/2017,860000.0
Maroondah City Council,28/10/2017,960000.0
Maroondah City Council,3/06/2017,0.0
Maroondah City Council,3/09/2017,2755000.0
Maroondah City Council,6/01/2018,997000.0
Maroondah City Council,9/09/2017,0.0
Maroondah City Council,9/12/2017,2905000.0
Melbourne City Council,1/07/2017,4115000.0
Melbourne City Council,10/12/2016,0.0
Melbourne City Council,12/11/2016,1250000.0
Melbourne City Council,13/05/2017,3970000.0
Melbourne City Council,14/10/2017,7476000.0
Melbourne City Council,15/10/2016,3975000.0
Melbourne City Council,16/04/2016,1214000.0
Melbourne City Council,16/09/2017,1251000.0
Melbourne City Council,17/09/2016,1600000.0
Melbourne City Council,18/03/2017,0.0
Melbourne City Council,20/05/2017,3475000.0
Melbourne City Council,21/10/2017,2300000.0
Melbourne City Council,22/08/2016,1550000.0
Melbourne City Council,23/04/2016,690000.0
Melbourne City Council,23/09/2017,2175000.0
Melbourne City Council,24/02/2018,0.0
Melbourne City Council,24/06/2017,850000.0
Melbourne City Council,25/02/2017,1120000.0
Melbourne City Council,25/11/2017,3700000.0
Melbourne City Council,26/08/2017,3565000.0
Melbourne City Council,27/05/2017,1430000.0
Melbourne City Council,27/11/2016,2667000.0
Melbourne City Council,28/05/2016,2160000.0
Melbourne City Council,28/10/2017,0.0
Melbourne City Council,29/04/2017,6325000.0
Melbourne City Council,3/06/2017,0.0
Melbourne City Council,3/09/2016,3930000.0
Melbourne City Council,3/09/2017,2625000.0
Melbourne City Council,3/12/2016,3310000.0
Melbourne City Council,4/03/2017,3340000.0
Melbourne City Council,4/06/2016,3630000.0
Melbourne City Council,6/01/2018,0.0
Melbourne City Council,6/05/2017,1400000.0
Melbourne City Council,7/05/2016,990000.0
Melbourne City Council,7/10/2017,4161000.0
Melbourne City Council,8/10/2016,0.0
Melbourne City Council,9/09/2017,3476000.0
Melbourne City Council,9/12/2017,2725000.0
Melton City Council,10/02/2018,0.0
Melton City Council,10/03/2018,0.0
Melton City Council,11/11/2017,710000.0
Melton City Council,22/07/2017,725500.0
Melton City Council,24/06/2017,1150000.0
Melton City Council,28/10/2017,1400000.0
Melton City Council,3/02/2018,680000.0
Melton City Council,3/03/2018,0.0
Melton City Council,7/10/2017,440000.0
Mitchell Shire Council,17/02/2018,0.0
Mitchell Shire Council,6/01/2018,600000.0
